Date,Marketplace,ASIN,SKU,Name,SalesOrganic,SalesPPC,UnitsOrganic,UnitsPPC,UnitsSponsoredProducts,UnitsSponsoredDisplay,Refunds,GrossProfit,NetProfit,Margin,Fulfillment Channel,downloaded_at
27/04/2026,Amazon.de,B06XWQRYDY,11135SGFBA,"SIGNES GRIMALT Figure Ameise, Metall, 13 cm, Ornament Wand zum Aufhängen, Dekoration und Garten",49.05,0.0,3,0,0,0,0,14.49,13.29,29.54,FBA,2026-05-04 08:37:44
27/04/2026,Amazon.es,B0CV4D42ZZ,4890VCT,ROCKING GIFTS Punta de Flecha de Obsidiana Pequeña: Herramienta Artesanal para Coleccionistas y Entusiastas,16.89,0.0,2,0,0,0,0,5.58,5.58,33.03,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.es,B07THCLSLN,284540CLMFBA,Hogar Deco Cesta Panera Mimbre 20 cm,28.6,0.0,2,0,0,0,0,11.15,10.35,38.97,FBA,2026-05-04 08:37:44
27/04/2026,Amazon.es,B0859N3R3B,2682204CLMFBA,"Home Gadgets Bote Cristal Sal 17 cm: Tarro de Cristal para Sal con Cierre Hermético, Recipiente de Cocina para Conservar Especias, Apto Lavavajillas",16.95,0.0,1,0,0,0,0,5.14,4.74,30.31,FBA,2026-05-04 08:37:44
27/04/2026,Amazon.es,B0F1Z4LJ86,309766CLM,"ROCKING GIFTS Set de 8 Platos Pequeños de Cartón para Pastel Fiesta Comunión Niño, Blanco y Azul, 18 cm",11.37,0.0,1,0,0,0,0,1.59,1.59,13.96,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.fr,B01HK60V6Y,3391VC,Pendentif Etoile Fleur de la Vie avec Chaine Argent 925,23.45,0.0,1,0,0,0,0,15.75,15.75,67.16,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.es,B08WR8PXHQ,2182970CLMFBA,"ROCKING GIFTS Posavasos de Madera Juego 4 Unidades Panot Barcelona 10 cm, Accesorios para Cocina, Mesa, Vasos,Vino, Cerveza, Regalos Originales",14.95,0.0,1,0,0,0,0,5.14,4.74,34.35,FBA,2026-05-04 08:37:44
27/04/2026,Amazon.es,B07TFBJCZF,278438CLM,ROCKING GIFTS Espejo Decorativo de Pared Plateado 50 cm diametro para Colgar,35.44,0.0,1,0,0,0,0,15.75,15.75,44.44,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.es,B00Y3H7GWG,43057SGFBA,Veasion Adorno Pared Lagarto Metal 46 cm,38.5,0.0,1,0,0,0,0,12.22,11.82,31.74,FBA,2026-05-04 08:37:44
27/04/2026,Amazon.es,B0F226QZ2Z,212571CLM,"ROCKING GIFTS Flor de Peluche, Rosa Regalo Sant Jordi y San Valentín, 30 cm",13.94,0.0,1,0,0,0,6,-38.04,-38.04,-272.88,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.it,B0CL3B5TBY,12890VCFBA,ROCKING GIFTS Pendolo Iside a 4 batterie con Fiore di Bronzo della Vita (PEND101),16.95,0.0,1,0,0,0,0,1.89,1.49,11.17,FBA,2026-05-04 08:37:44
27/04/2026,Amazon.es,B08WR9QVR3,2776653CLMFBA,"Set Taza Mug 350ML x2 Regalo Jubilación - Taza Original Divertida para Desayuno Café Té, Cerámica 10 cm - Regalo para Hombre Mujer, Despedida Jubilada Profesor Maestra Amigo Jefe",18.95,0.0,1,0,0,0,0,5.05,4.65,26.66,FBA,2026-05-04 08:37:44
27/04/2026,Amazon.es,B0CC3W385Q,30199SGFBA,"ROCKING GIFTS Adorno de Pared Lagarto, Azul, Metal, 39x19 cm, decoración terraza, Jardin",23.66,0.0,1,0,0,0,0,6.26,6.26,26.47,FBA,2026-05-04 08:37:44
27/04/2026,Amazon.es,B09X8QSM9D,300748CLMFBA,ROCKING GIFTS Figura Decorativa Busto Griego Romano David Escultura Clásica Antigua Resina Efecto Piedra 15 cm,25.95,0.0,1,0,0,0,0,9.85,9.45,37.94,FBA,2026-05-04 08:37:44
27/04/2026,Amazon.es,B08WR79HQ3,2293716CLM,Dispensador de Jabon Efecto Marmol Blanco 16 cm,16.44,0.0,1,0,0,0,0,2.56,2.56,15.55,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.it,B07THDFDM8,284533CLMFBA,ROCKING GIFTS Sottopentola in vimini rotondo 20 cm | Tovaglietta singola | Resistente al calore | Antiscivolo | Decorativo | Proteggi il tuo tavolo,10.74,0.0,1,0,0,0,0,0.8,0.8,7.48,FBA,2026-05-04 08:37:44
27/04/2026,Amazon.es,B0CC43CSWB,30200SGFBA,ROCKING GIFTS Adorno Pared Lagarto Mosaico Metal 39x19 cm | Decoración Jardín Terraza Exterior | Figura Escultura Gecko Reptil | Arte Manualidades Diseño,22.95,0.0,1,0,0,0,0,6.69,6.29,29.14,FBA,2026-05-04 08:37:44
27/04/2026,Amazon.fr,B0CC43CSWB,30200SGFBA,"ROCKING GIFTS Ornement Mural lézard, Multicolore, mosaïque, métal, 39X19 Cm, décoration de terrasse, Jardin",24.0,0.0,1,0,0,0,0,5.92,5.52,24.67,FBA,2026-05-04 08:37:44
27/04/2026,Amazon.es,B07XSMQFBG,291440CLM,"Caja de madera con tapa tallada, 22 cm, color: Blanco",29.64,0.0,1,0,0,0,0,8.53,8.53,28.76,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.es,B0BW9RWTRF,41647RGMDFBA,"ROCKING GIFTS Cubilete de Cuero con Forro de Fieltro y 5 Dados de póker de 16mm | para Juegos de Casino, Poker, cubiletes | Juego de Entretenimiento Familiar | Regalo para Hombre",19.95,0.0,1,0,0,0,0,4.88,4.48,24.45,FBA,2026-05-04 08:37:44
27/04/2026,Amazon.es,B0DLBQXGTT,21821167CLMFBA,ROCKING GIFTS Vaciabolsillos Bandeja Rectangular Hojas 30x12 cm,18.35,0.0,1,0,0,0,0,8.36,7.96,45.53,FBA,2026-05-04 08:37:44
27/04/2026,Amazon.fr,B01LXTOLOC,5920SG,"ROCKING GIFTS Figure décorative Hick, métal, 10 centimètres, également pour Le Mur Suspendu, Forge",0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.es,B09GS853VW,7818VC,"ROCKING GIFTS Monolito de Selenita Mini Blanco Natural Pequeño, Eisberg Torre Skyscraper Catedral Cascada con Base Aprox. 6 cm de Alto, procedencia Marruecos, Cristal y Minerales",0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.de,B0BW9R6LFR,20006MDFBA,"ROCKING GIFTS Pfeife aus Holz und Metall, Standard-Serie, gewölbtes Modell, Filter 6 mm",0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,FBA,2026-05-04 08:37:44
27/04/2026,Amazon.it,B0BW9R6LFR,20006MDFBA,"ROCKING GIFTS Tubo in legno e metallo Falcon, serie standard, modello curvo, filtro 6 mm",0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,FBA,2026-05-04 08:37:44
27/04/2026,Amazon.fr,B0CLZX5FV6,7099RGVC,ROCKING GIFTS Colgante Donut Grande de Shungit,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.es,B08WRM13YL,2182972CLMFBA,"ROCKING GIFTS Tapa Contador Panot Barcelona 45 cm, Cuadro Cubre Cuadro Electrico, Caja de Luz, Madera, Horizontal",0.0,0.0,0,0,0,0,0,-0.01,-0.01,0.0,FBA,2026-05-04 08:37:44
27/04/2026,Amazon.es,B0CPJT5XCJ,23481609CLM,"ROCKING GIFTS Mantel Individualde plástico Gris, Diseño Panot de Barcelona",0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.es,B0CL3CGX96,10813VC,"ROCKING GIFTS Pareja de armonizadores Circulares de shungit y tulikivi: Piedra Natural, protección contra la contaminación electromagnética, curación y Bienestar",0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.it,B076MKQRF9,1082VC,Mineral Import - Rosa del Desierto (Pack 500 gr) - 1082VC,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.es,B0CL3CFGVD,12934VC,"ROCKING GIFTS Pirámide de Cuarzo Hematoide 2.5x2.5cm - Mineral Pulido Natural para decoración, Reiki y energía",0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.es,B075RKW8MX,13064SG,"Art Deco Home Adorno Pared Metalico Golondrina 25 cm, Decoracion forja Colgante",0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.de,B075RSNDSB,13065SG,"ROCKING GIFTS Metallwandwand Golondrina schwarz, 21 cm, mit Hakenhaken, Haftstrafe Dekoration, Schwalben, Wandverzierung Wand",0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.es,B075RSNDSB,13065SG,"ROCKING GIFTS Adorno Pared Metalico Golondrina Color Negro, 21 cm, con Gancho para Colgar, Decoracion forja Colgante, Golondrinas, Adorno Metal Pared",0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.es,B07D9VR29L,4650VC,"Colgante de Shungit Media Luna Minerales y Cristales, Belleza energética, Meditacion, Amuletos Espirituales",0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.es,B010TN1N80,230VC,Mineral Import - Drusa Amatista Brasil Calidad Extra (pack de 1 kg) - 230VC,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.es,B08WPQRPT4,24003SGFBA,Vidal Regalos Figura Decorativa Pareja Gallo Gallina Resina 16 cm,0.0,0.0,0,0,0,0,0,16.48,16.48,0.0,FBA,2026-05-04 08:37:44
27/04/2026,Amazon.de,B0BVMSXXCJ,25181RGSG,"ROCKING GIFTS Schüssel, rund, Zitronen, Holz, 20 cm",0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.de,B0BRYLQSY1,5948VC,ROCKING GIFTS Pulsera de Crisocola Potenciada 10mm,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.it,B088HJSD5Q,5983VC,"Vara Canalizadora de Cuarzo Chrakas con Biterminados Plata de Ley 925 Minerales y Cristales, Belleza Energética, Meditacion, Amuletos Espirituales",0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.de,B0BX4NYLQD,62157RGSGFBA,"ROCKING GIFTS Galileo Thermometer Glasröhre 22 cm, für drinnen oder draußen, analog, schwimmende Kugeln Farben",0.0,0.0,0,0,0,0,0,-0.33,-0.33,0.0,FBA,2026-05-04 08:37:44
27/04/2026,Amazon.es,B0BX4NYLQD,62157RGSGFBA,"ROCKING GIFTS Termometro Galileo Tubo de Cristal 22 cm, para Exterior o Interior, Analógico, Bolas Flotantes Colores",0.0,0.0,0,0,0,0,0,-0.12,-0.12,0.0,FBA,2026-05-04 08:37:44
27/04/2026,Amazon.es,B0GFFBBD5H,309525CLM,ROCKING GIFTS Vaso Cristal Grabado 290ml 10cm Vidrio para Agua Refrescos Bebidas Vajilla Whisky,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.es,B0GFDW21T5,310838CLM,ROCKING GIFTS Organizador Cosméticos Plástico Transparente con Compartimentos Múltiples 20x15x16.60 cm Almacenamiento Maquillaje Brochas Labiales Uñas,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,FBM,2026-05-04 08:37:44
27/04/2026,Amazon.es,B0GFDWTRW9,309908CLM,ROCKING GIFTS Vajilla 18 Piezas Limones Porcelana Set Completo para 6 Personas Platos De Comida Postre Diseño Cítrico,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,FBM,2026-05-04 08:37:44
